Go.	යන්න.
Everybody who was anybody was there.	කවුරු කවුරුත් හිටිය හැමෝම එතන හිටියා.
Everyone in my family gets up early.	මගේ පවුලේ හැමෝම වේලාසනින් නැගිටිනවා.
Everyone mistakes me for my brother.	හැමෝම මාව මගේ අයියා කියලා වරදවා ගන්නවා.
Everyone's eyes were fixed upon her.	හැමෝගෙම ඇස් ඇය දෙසට යොමු වෙලා තිබුනා.
Everything appears to be going well.	සෑම දෙයක්ම හොඳින් සිදුවන බව පෙනේ.
Everything is ruined because of you.	ඔබ නිසා සියල්ල විනාශ වී ඇත.
Excuse me, how much is this sweater?	සමාවෙන්න, මේ ස්ෙවටර් එක කීයද?
Excuse me, which way is the station?	සමාවෙන්න, දුම්රිය ස්ථානය කොයි පාරද?
Father laid his hand on my shoulder.	තාත්තා මගේ උරහිසට අත තිබ්බා.
Father took us to the zoo yesterday.	තාත්තා ඊයේ අපිව සත්තු වත්තට එක්කන් ගියා.
French is not only spoken in France.	ප්රංශ භාෂාව කතා කරන්නේ ප්රංශයේ පමණක් නොවේ.
Go upstairs and bring down my trunk.	උඩ තට්ටුවට ගිහින් මගේ කඳ පල්ලෙහාට ගේන්න.
Good books are always worth reading.	හොඳ පොත් සෑම විටම කියවීම වටී.
Graham Greene is my favorite author.	ග්‍රැහැම් ග්‍රීන් මගේ ප්‍රියතම ලේඛකයා.
Has that been scientifically proven?	ඒක විද්‍යාත්මකව ඔප්පු කරල තියෙනවද?
Have you applied for a passport yet?	ඔබ තවමත් විදේශ ගමන් බලපත්‍රයක් සඳහා ඉල්ලුම් කර තිබේද?
Have you ever been to a singles bar?	ඔබ කවදා හෝ තනිකඩ බාර් එකකට ගොස් තිබේද?
Have you ever felt dizzy on a plane?	ඔබට කවදා හෝ ගුවන් යානයකදී කරකැවිල්ල දැනී තිබේද?
Have you ever gotten food poisoning?	ඔබට කවදා හෝ ආහාර විෂවීමක් සිදුවී තිබේද?
Have you ever had a serious illness?	ඔබට කවදා හෝ දරුණු රෝගයක් වැළඳී තිබේද?
Have you ever seen a film this good?	ඔබ කවදා හෝ මේ තරම් හොඳ චිත්‍රපටයක් දැක තිබේද?
Have you ever seen such a nice film?	ඔබ කවදා හෝ එවැනි ලස්සන චිත්‍රපටයක් දැක තිබේද?
Have you ever seen this logo before?	ඔබ මෙම ලාංඡනය මීට පෙර දැක තිබේද?
Have you finished reading that book?	ඔබ එම පොත කියවා අවසන්ද?
Have you finished your homework yet?	ඔබ තවමත් ඔබේ ගෙදර වැඩ අවසන් කර තිබේද?
He accomplished the work as planned.	ඔහු සැලසුම් කළ පරිදි කාර්යය ඉටු කළේය.
He actually didn't see the accident.	ඇත්ත වශයෙන්ම ඔහු අනතුර දුටුවේ නැත.
He adapted himself to circumstances.	ඔහු තත්වයන්ට අනුවර්තනය විය.
He advocated the reduction of taxes.	ඔහු බදු අඩු කිරීම වෙනුවෙන් පෙනී සිටියේය.
He and I are almost the same height.	ඔහුත් මමත් බොහෝ දුරට එකම උසයි.
He answered that he could swim well.	ඔහුට හොඳින් පිහිනීමට හැකි බව ඔහු පිළිතුරු දුන්නේය.
He appears to be strong and healthy.	ඔහු ශක්තිමත් හා සෞඛ්ය සම්පන්න බව පෙනේ.
He bought flour and oil in quantity.	ඔහු පිටි සහ තෙල් ප්‍රමාණයෙන් මිලදී ගත්තේය.
He brings home the bread and butter.	ඔහු පාන් සහ බටර් ගෙදර ගෙන එයි.
He came out from behind the curtain.	ඔහු තිරය පිටුපසින් එළියට ආවා.
He came to see me during my absence.	මම නැති වෙලාවක එයා මාව බලන්න ආවා.
He can both speak and write Russian.	ඔහුට රුසියානු භාෂාව කතා කිරීමට සහ ලිවීමට හැකිය.
He can run the fastest in the class.	ඔහුට පන්තියේ වේගයෙන් දුවන්න පුළුවන්.
He carved a Buddha statue from wood.	ඔහු ලීයෙන් බුදු පිළිමයක් නෙළා ඇත.
He claimed his share of the profits.	ඔහු ලාභයෙන් ඔහුගේ කොටස ඉල්ලා සිටියේය.
He could not find what I had hidden.	මා සඟවා තිබූ දේ ඔහුට සොයාගත නොහැකි විය.
He couldn't understand the sentence.	ඔහුට වාක්‍යය තේරුම් ගත නොහැකි විය.
He devoted himself to reading books.	ඔහු පොත් කියවීමට කැප විය.
He did not try to go to bed at once.	ඔහු එකවරම නින්දට යාමට උත්සාහ කළේ නැත.
He didn't eat all of the rice cakes.	ඔහු බත් කැවුම් සියල්ලම කෑවේ නැත.
He didn't need to bring an umbrella.	ඔහුට කුඩයක් ගෙන ඒමට අවශ්‍ය නොවීය.
He earns three times more than I do.	ඔහු මට වඩා තුන් ගුණයක් උපයනවා.
He encountered a friend on the road.	ඔහුට පාරේදී මිතුරෙකු හමු විය.
He fetched some water from the well.	ඔහු ළිඳෙන් වතුර ටිකක් ගෙන ආවේය.
He gives plain, simple explanations.	ඔහු සරල, සරල පැහැදිලි කිරීම් ලබා දෙයි.
He got his shirt mended by his wife.	ඔහු තම කමිසය සකස් කර ගත්තේ ඔහුගේ බිරිඳ විසිනි.
He has a good head on his shoulders.	ඔහුගේ උරහිස් මත හොඳ හිසක් ඇත.
He has a lot more money than I have.	එයාට මට වඩා සල්ලි ගොඩක් තියෙනවා.
He has a lot of teaching experience.	ඔහුට ඉගැන්වීමේ අත්දැකීම් රාශියක් ඇත.
He has been busy since this morning.	අද උදේ ඉඳන් එයා කාර්යබහුලයි.
He has made a promise to come again.	ඔහු නැවත පැමිණෙන බවට පොරොන්දු වී ඇත.
He has never been to Okinawa before.	ඔහු මීට පෙර කිසි දිනෙක ඔකිනාවා වෙත ගොස් නැත.
He is a member of the baseball club.	ඔහු බේස්බෝල් සමාජයේ සාමාජිකයෙකි.
He is a tall and strongly built man.	ඔහු උස හා ශක්තිමත් මිනිසෙකි.
He is acting for the chief director.	ඔහු ප්‍රධාන අධ්‍යක්ෂවරයා වෙනුවෙන් රඟපානවා.
He is afraid of getting lung cancer.	පෙනහළු පිළිකාවක් හැදෙයි කියලා බයයි.
He is ahead of his class in English.	ඔහු ඉංග්‍රීසි භාෂාවෙන් ඔහුගේ පන්තියට වඩා ඉදිරියෙන් සිටී.
He is honest. That's why I like him.	ඔහු අවංක ය. ඒකයි මම එයාට කැමති.
He is not ashamed of his misconduct.	ඔහුගේ වැරදි හැසිරීම ගැන ඔහු ලැජ්ජාවට පත් නොවේ.
He is the man you met the other day.	ඔහු ඔබට පසුගිය දිනක හමු වූ පුද්ගලයාය.
He judged it wiser to remain silent.	නිශ්ශබ්දව සිටීම වඩා ඥානවන්ත බව ඔහු විනිශ්චය කළේය.
He kept waiting for hours and hours.	ඔහු පැය ගණන් පැය ගණන් බලා සිටියේය.
He knew how to put his ideas across.	ඔහු තම අදහස් ඉදිරිපත් කරන්නේ කෙසේදැයි දැන සිටියේය.
He lent me what little money he had.	ඔහු සතුව තිබූ සුළු මුදලක් ඔහු මට ණයට දුන්නේය.
He lost his eyesight in an accident.	හදිසි අනතුරකින් ඔහුගේ ඇස් පෙනීම අහිමි විය.
He married his daughter to a lawyer.	ඔහු තම දියණිය නීතිඥයෙකුට විවාහ කර දුන්නේය.
He must have left the water running.	එයා වතුර දාලා යන්න ඇති.
He never failed to keep his promise.	ඔහු තම පොරොන්දුව ඉටු කිරීමට කිසිවිටෙක අසමත් වූයේ නැත.
He pays no attention to the teacher.	ඔහු ගුරුවරයා කෙරෙහි අවධානය යොමු නොකරයි.
He plays the piano better than I do.	ඔහු මට වඩා හොඳින් පියානෝව වාදනය කරයි.
He promised not to tell another lie.	තවත් බොරුවක් නොකියන බවට ඔහු පොරොන්දු විය.
He said he would pay for the dinner.	රෑ කෑමට සල්ලි දෙන්නම් කිව්වා.
He searched his pockets for the key.	ඔහු යතුර සඳහා සාක්කු සෙව්වේය.
He stayed at the hotel for two days.	ඔහු දින දෙකක් හෝටලයේ නැවතී සිටියේය.
He stood on the surface of the moon.	ඔහු සඳ මතුපිට සිටගෙන සිටියේය.
He stuck a flower in his buttonhole.	ඔහු තම බොත්තම් සිදුරේ මලක් ඇල්ලුවේය.
He stuck the broken pieces together.	ඔහු කැඩුණු කෑලි එකට ඇලෙව්වේය.
He studied hard and passed the test.	ඔහු වෙහෙස මහන්සි වී පාඩම් කර විභාගය සමත් විය.
He studied hard so he wouldn't fail.	ඔහු අසමත් නොවන පරිදි වෙහෙස මහන්සි වී ඉගෙන ගත්තේය.
He succeeded because he worked hard.	ඔහු වෙහෙස මහන්සි වී වැඩ කළ නිසා ඔහු සාර්ථක විය.
He succeeded in solving the problem.	ගැටලුව විසඳීමට ඔහු සමත් විය.
He swam until he could swim no more.	ඔහුට තවදුරටත් පිහිනීමට නොහැකි වන තෙක් ඔහු පිහිනුවේය.
He trusts his assistant quite a lot.	ඔහු තම සහායකයා බොහෝ සේ විශ්වාස කරයි.
He turned to the left at the corner.	ඔහු කෙළවරේ වම් පැත්තට හැරී ගියේය.
He walked two miles in half an hour.	ඔහු පැය භාගයකින් සැතපුම් දෙකක් ඇවිද ගියේය.
He was absent from school yesterday.	ඔහු ඊයේ පාසලට පැමිණ සිටියේ නැත.
He was better off when he was young.	ඔහු තරුණ වියේදී වඩා හොඳ විය.
He was deprived of his civil rights.	ඔහුගේ සිවිල් අයිතිවාසිකම් අහිමි විය.
He was foolish enough to believe it.	එය විශ්වාස කිරීමට තරම් ඔහු මෝඩ විය.
He was looking through a microscope.	ඔහු අන්වීක්ෂයකින් බලා සිටියේය.
He was poor and couldn't buy a coat.	ඔහු දුප්පත් වූ අතර ඔහුට කබායක් මිලදී ගැනීමට නොහැකි විය.
He was running and calling for help.	ඔහු දුව ගොස් උදව් ඉල්ලා සිටියේය.
He went there instead of his father.	ඔහු තම පියා වෙනුවට එහි ගියේය.
He will accept any money he can get.	ඔහු ලබා ගත හැකි ඕනෑම මුදලක් භාර ගනී.
He's an important person in the FBI.	එයා FBI එකේ වැදගත් කෙනෙක්.
He's been sick in bed for four days.	එයා දවස් හතරක් ලෙඩ ඇඳේ.
He's considering visiting his uncle.	ඔහු තම මාමා බැලීමට යාමට සිතයි.
He's just an ordinary office worker.	ඔහු සාමාන්‍ය කාර්යාල සේවකයෙක් පමණයි.
He's not the same man he used to be.	එයා ඉස්සර හිටපු මිනිහා නෙවෙයි.
He's still sponging off his parents.	ඔහු තවමත් තම දෙමාපියන්ට පහර දෙයි.
He's studying French and web design.	ඔහු ප්‍රංශ සහ වෙබ් නිර්මාණකරණය හදාරමින් සිටී.
He's the novelist I admire the most.	මම වැඩියෙන්ම අගය කරන නවකතාකරුවා ඔහුයි.
Her argument was not based on facts.	ඇගේ තර්කය පදනම් වූයේ කරුණු මත නොවේ.
Her mother has made her what she is.	ඇගේ මව ඇයව ඇයව සාදා ඇත.
His briefcase was filled with water.	ඔහුගේ බෑගය වතුරෙන් පිරී තිබුණි.
His failure taught me a good lesson.	ඔහුගේ අසාර්ථකත්වය මට හොඳ පාඩමක් කියා දුන්නා.
His failure was due to his idleness.	ඔහුගේ අසාර්ථකත්වය ඔහුගේ උදාසීනත්වය නිසාය.
How can I get to the police station?	මම පොලිස් ස්ථානයට යන්නේ කෙසේද?
How can you bear such a humiliation?	එවැනි නින්දාවක් ඔබ දරාගන්නේ කෙසේද?
How did the traffic accident happen?	රථවාහන අනතුර සිදු වූයේ කෙසේද?
How did you come to know each other?	ඔබ එකිනෙකා දැන හඳුනා ගත්තේ කෙසේද?
How did you get acquainted with her?	ඔබ ඇය සමඟ දැන හඳුනා ගත්තේ කෙසේද?
How did you get to know that person?	ඔබ එම පුද්ගලයාව දැන හඳුනා ගත්තේ කෙසේද?
How did you know that he is married?	ඔහු විවාහක බව ඔබ දැනගත්තේ කෙසේද?
How do I get to the beach from here?	මම මෙතැන් සිට මුහුදු වෙරළට යන්නේ කෙසේද?
How do you say "good bye" in German?	ඔබ ජර්මානු භාෂාවෙන් "ආයුබෝවන්" කියන්නේ කෙසේද?
How long have you been working here?	ඔබ කොපමණ කාලයක් මෙහි වැඩ කරනවාද?
How many cruises are there each day?	දිනකට යාත්‍රා කීයක් තිබේද?
How many hot dogs do you sell a day?	ඔබ දිනකට හොට් ඩෝග් කීයක් විකුණනවාද?
How shall we deal with this problem?	අපි මෙම ගැටලුව සමඟ කටයුතු කරන්නේ කෙසේද?
How would you like to live in Tokyo?	ඔබ ටෝකියෝ හි ජීවත් වීමට කැමති කෙසේද?
Hunting is banned in national parks.	ජාතික වනෝද්යානවල දඩයම් කිරීම තහනම් කර ඇත.
Hurry, and you will catch the train.	ඉක්මන් කරන්න, එවිට ඔබ දුම්රිය අල්ලා ගනු ඇත.
I ache all over after the exercises.	ව්‍යායාමයෙන් පසු මට මුළු වේදනාවම දැනේ.
I advised him on what books to read.	කියවිය යුතු පොත් මොනවාදැයි මම ඔහුට උපදෙස් දුන්නෙමි.
I almost died a year and a half ago.	මම මීට වසර එකහමාරකට පමණ පෙර මිය ගියා.
I always eat before going to school.	මම හැමදාම ඉස්කෝලේ යන්න කලින් කනවා.
I always read the sports page first.	මම නිතරම මුලින්ම කියවන්නේ ක්‍රීඩා පිටුවයි.
I am absent from school on occasion.	මම සමහර වෙලාවට ඉස්කෝලේ යන්නේ නැහැ.
I am afraid your plan will not work.	ඔබේ සැලැස්ම ක්‍රියාත්මක නොවනු ඇතැයි මම බිය වෙමි.
I am glad to accept your invitation.	ඔබගේ ආරාධනය පිළිගැනීම ගැන මම සතුටු වෙමි.
I am going to try to get a good tan.	මම හොඳ ටැන් එකක් ලබා ගැනීමට උත්සාහ කරමි.
I am going to watch TV this evening.	මම අද හවස TV බලන්න යනවා.
I am learning two foreign languages.	මම විදේශ භාෂා දෙකක් ඉගෙන ගන්නවා.
I am no more an artist than you are.	මම ඔබට වඩා කලාකරුවෙකු නොවේ.
I am not cut out to be a politician.	මම දේශපාලකයෙක් වෙන්න කැපිලා නැහැ.
I am on our high school soccer team.	මම අපේ උසස් පාසල් පාපන්දු කණ්ඩායමේ.
I am really pleased with my new car.	මගේ අලුත් කාර් එක ගැන මම ඇත්තටම සතුටුයි.
I am responsible for her protection.	ඇයගේ ආරක්ෂාව ගැන මම වග කිව යුතුයි.
I am sorry to have kept you waiting.	ඔබව නවතා තැබීම ගැන මට සමාවන්න.
I am staying at a hotel in New York.	මම නිව් යෝර්ක් හි හෝටලයක නැවතී සිටිමි.
I am still attached to this bicycle.	මම තවමත් මේ බයිසිකලයට සම්බන්ධයි.
I am very pleased with my new house.	මගේ නව නිවස ගැන මම ඉතා සතුටු වෙමි.
I apologize if I hurt your feelings.	මම ඔබේ හැඟීම් රිදවූවා නම් මම සමාව ඉල්ලමි.
I appreciate what you did yesterday.	ඔබ ඊයේ කළ දේ මම අගය කරමි.
I asked Tom why he didn't like Mary.	මම ටොම්ගෙන් ඇහුවා ඇයි මේරිට කැමති නැත්තේ කියලා.
I ate bread and butter this morning.	මම අද උදේ පාන් සහ බටර් කෑවා.
I barely managed to catch the train.	මට යන්තම් කෝච්චිය අල්ලගන්න පුළුවන් වුණා.
I beg your pardon. What did you say?	මම ඔයාගෙන් සමාව ඉල්ලනවා. ඔයා කීවේ කුමක් ද?
I bought a red sweater at that shop.	මම ඒ කඩෙන් රතු ස්ෙවටර් එකක් ගත්තා.
I brought a suit against the doctor.	මම දොස්තරට විරුද්ධව නඩුවක් ගෙනාවා.
I called her, but the line was busy.	මම ඇයට කතා කළ නමුත් රේඛාව කාර්යබහුල විය.
I can carry those suitcases for you.	මට ඒ ගමන් මලු ඔබ වෙනුවෙන් රැගෙන යා හැකියි.
I can hear you, but I can't see you.	මට ඔයාව ඇහෙනවා, නමුත් මට ඔයාව පේන්නේ නැහැ.
I can wait four days at the longest.	මට උපරිම දවස් හතරක් ඉන්න පුළුවන්.
I can walk to school in ten minutes.	මට විනාඩි දහයකින් පාසලට පයින් යන්න පුළුවන්.
I can't help thinking of the future.	මට අනාගතය ගැන සිතීම වළක්වා ගත නොහැක.
I can't make out what you're saying.	මට ඔයා කියන දේ හිතාගන්න බෑ.
I can't put up with that loud noise.	මට ඒ සද්දෙ ඉවසන්න බෑ.
I can't put up with this any longer.	මට මේක තවත් ඉවසන්න බෑ.
I can't speak French as well as Tom.	මට ටොම් තරම් ප්‍රංශ කතා කරන්න බැහැ.
I can't understand anything he said.	මට එයා කියපු කිසිම දෙයක් තේරුම් ගන්න බෑ.
I can't understand his ideas at all.	ඔහුගේ අදහස් මට කිසිසේත්ම තේරුම් ගත නොහැක.
I cannot afford to buy such a thing.	එවැනි දෙයක් මිලදී ගැනීමට මට හැකියාවක් නැත.
I cannot help laughing at her jokes.	මට ඇගේ විහිලු වලට හිනා නොවී ඉන්න බෑ.
I could not afford to buy a bicycle.	මට බයිසිකලයක් ගන්න බැරි වුණා.
I couldn't come because of the rain.	වැස්ස නිසා එන්න බැරි වුණා.
I couldn't see any stars in the sky.	මට අහසේ තරු පෙනුනේ නැහැ.
I did not want to attract attention.	මට අවධානය ආකර්ෂණය කර ගැනීමට අවශ්‍ය නොවීය.
I didn't ask Tom why he wanted this.	මම ටොම්ගෙන් ඇහුවේ නැහැ ඇයි එයාට මේක ඕනේ කියලා.
I didn't know how to express myself.	මම මගේ අදහස් ප්‍රකාශ කරන්නේ කෙසේදැයි දැන සිටියේ නැත.
I didn't know there was a pond here.	මම දැනගෙන හිටියේ නැහැ මෙතන පොකුණක් තියෙනවා කියලා.
I didn't know tofu tasted this good.	ටෝෆු මේ තරම් රසයි කියලා මම දැනගෙන හිටියේ නැහැ.
I didn't mean to hurt your feelings.	මම ඔයාගේ හිත රිද්දන්න හිතුවේ නෑ.
I didn't notice how she was dressed.	ඇය ඇඳගෙන සිටින ආකාරය මම දුටුවේ නැත.
I didn't really feel like going out.	ඇත්තටම මට එලියට යන්න හිතුනෙ නෑ.
I didn't want to go to your wedding.	මට ඔයාගෙ වෙඩින් එකට යන්න ඕන වුනේ නෑ.
I didn't want to split up with Mary.	මට මේරි එක්ක වෙන් වෙන්න ඕන වුණේ නැහැ.
I do not like mathematics very much.	මම ගණිතයට එතරම් කැමති නැහැ.
I don't disagree with your decision.	ඔබේ තීරණයට මම එකඟ නොවෙමි.
I don't feel like going out tonight.	මට අද රෑ එළියට යන්න හිතෙන්නෙ නෑ.
I don't know how old that bridge is.	ඒ පාලම කොච්චර පරණද කියලා මම දන්නේ නැහැ.
I don't know if I have enough money.	මට ඇති තරම් මුදල් තිබේදැයි මම නොදනිමි.
I don't know if this will be enough.	මෙය ප්‍රමාණවත් වේදැයි මම නොදනිමි.
I don't know what has become of him.	මම දන්නේ නැහැ එයාට මොනවා වෙලාද කියලා.
I don't know what you want me to do.	මම දන්නේ නැහැ ඔයාට මගෙන් මොනවද කරන්න ඕනේ කියලා.
I don't mind leaving at six o'clock.	හයට ගියාට කමක් නැහැ.
I don't read this kind of book much.	මම මේ වගේ පොත් වැඩිය කියවන්නේ නැහැ.
I don't remember where I put my key.	මම යතුර තැබුවේ කොහේදැයි මට මතක නැත.
I don't think he is fit for the job.	මම හිතන්නේ ඔහු රැකියාවට සුදුසු නැහැ.
I don't think that Tom is available.	මම හිතන්නේ නැහැ ටොම් ඉන්නවා කියලා.
I don't think that changes anything.	මම හිතන්නේ නැහැ ඒක කිසිම දෙයක් වෙනස් කරයි කියලා.
I don't think that we need to worry.	මම හිතන්නේ නැහැ අපි කලබල වෙන්න ඕනේ කියලා.
I don't usually put sugar in my tea.	මම සාමාන්‍යයෙන් තේ වලට සීනි දාන්නේ නැහැ.
I don't want Tom to know about this.	මට ටොම් මේ ගැන දැනගන්න ඕන නෑ.
I don't want to drink anything cold.	මට සීතල කිසිම දෙයක් බොන්න ඕන නෑ.
I don't want to go anywhere tonight.	මට අද රෑ කොහෙවත් යන්න ඕන නෑ.
I don't want to spend more than $10.	මට ඩොලර් 10 කට වඩා වියදම් කිරීමට අවශ්‍ය නැත.
I don't want to talk to Tom anymore.	මට තවදුරටත් ටොම් සමඟ කතා කිරීමට අවශ්‍ය නැත.
I don't wash my hair in the morning.	මම උදේට මගේ කොණ්ඩය සෝදන්නේ නැහැ.
I failed to recall the song's title.	ගීතයේ මාතෘකාව මතක තබා ගැනීමට මට නොහැකි විය.
I feel happiest when I am in school.	මට වැඩියෙන්ම සතුටක් දැනෙන්නේ ඉස්කෝලේ යන කාලේ.
I finally came up with a great idea.	අන්තිමට මට නියම අදහසක් ආවා.
I forgot that you didn't like pizza.	මට අමතක වුනා ඔයා පීසා වලට කැමති නෑ කියලා.
I found that restaurant by accident.	ඒ අවන්හල මට අහම්බෙන් හම්බ වුණා.
I found this movie very interesting.	මට මේ චිත්‍රපටිය හරිම රසවත් වුණා.
I get along well with all the staff.	මම සියලුම කාර්ය මණ්ඩලය සමඟ හොඳින් ඇසුරු කරනවා.
I get along with my younger brother.	මම මල්ලිත් එක්ක එකතු වෙනවා.
I got acquainted with her in France.	මම ඇයව ප්‍රංශයේදී දැන හඳුනා ගත්තා.
I got out of the car at 40th Street.	මම 40 වැනි වීදියෙන් කාර් එකෙන් බැස්සා.
I got tired of lying in bed all day.	දවසම ඇඳේ වැතිරිලා එපා වුණා.
I got up at six-thirty this morning.	මම අද උදේ හයහමාරට නැගිට්ටා.
I got warm from jogging for an hour.	මම පැයක් ජොගින් එකෙන් උණුසුම් වුණා.
I guess there was some talk of that.	මම හිතන්නේ ඒ ගැන යම් කතාබහක් ඇති වුණා.
I had a hard time finding his house.	මට ඔහුගේ නිවස සොයා ගැනීමට අපහසු විය.
I had a quarrel with him over money.	මම ඔහු සමඟ මුදල් සම්බන්ධයෙන් ආරවුලක් ඇති කර ගත්තා.
I had my pocket picked on the train.	මම දුම්රියේදී මගේ සාක්කුව ගත්තා.
I had no trouble finding his office.	මට එයාගේ ඔෆිස් එක හොයාගන්න අමාරු උනේ නෑ.
I had the gardener plant some trees.	මම උයන්පල්ලාට ගස් ටිකක් හිටෙව්වා.
I had to go home and change clothes.	ගෙදර ගිහින් ඇඳුම් මාරු කරන්න වුණා.
I had to wait more than three hours.	මට පැය තුනකට වඩා බලා සිටීමට සිදු විය.
I had to work hard when I was young.	මට පොඩි කාලේ මහන්සි වෙන්න වුණා.
I have a lot of questions to answer.	මට උත්තර දෙන්න ප්‍රශ්න ගොඩයි.
I have a lot of work to do tomorrow.	හෙට මට කරන්න වැඩ ගොඩක් තියෙනවා.
I have a previous engagement at ten.	මගේ කලින් විවාහ ගිවිස ගැනීමක් තියෙනවා දහයට.
I have a reservation for six-thirty.	මට හයයි තිහට වෙන්කරවා ගැනීමක් ඇත.
I have a reservation for two nights.	මට රාත්‍රී දෙකක් සඳහා වෙන් කිරීමක් තිබේ.
I have a round trip ticket to Tokyo.	මට ටෝකියෝ වෙත වට සංචාර ටිකට් පතක් තිබේ.
I have a sore throat and runny nose.	මට උගුරේ අමාරුවක් සහ නාසයෙන් දියර ගැලීමක් ඇත.
I have been in Japan for two months.	මම ජපානයට ඇවිත් මාස දෙකක් වෙනවා.
I have just been to the post office.	මම තැපැල් කන්තෝරුවට ගියා විතරයි.
I have no idea of how to send a fax.	ෆැක්ස් එකක් යවන්නේ කෙසේදැයි මට අදහසක් නැත.
I have no idea why she got so angry.	ඇය මෙතරම් කෝපයට පත් වූයේ මන්දැයි මම නොදනිමි.
I have no one to turn to for advice.	මට උපදෙස් සඳහා හැරවීමට කිසිවෙකු නැත.
I have not seen him for a long time.	මම ඔහුව බොහෝ කලකින් දැක නැත.
I have some work to do this evening.	අද හවස මට වැඩ ටිකක් කරන්න තියෙනවා.
I have to change my profile picture.	මට මගේ ප්‍රොෆයිල් පික්චර් එක වෙනස් කරන්න වෙනවා.
I haven't heard from Tom since July.	මම ජූලි මාසයේ සිට ටොම්ගෙන් අසා නැත.
I haven't seen her since last month.	පසුගිය මාසයේ සිට මම ඇයව දුටුවේ නැත.
I haven't seen much of him recently.	මම මෑතකදී ඔහුව වැඩිය දැකලා නැහැ.
I hear that she is a famous actress.	ඇය ජනප්‍රිය නිළියක් කියලා මට ආරංචියි.
I heard my name called in the crowd.	සෙනඟ අතරේ මගේ නම කතා කරනවා මට ඇහුණා.
I heard the children's happy voices.	දරුවන්ගේ සතුටු කටහඬ මට ඇහුණා.
I just didn't believe what Tom said.	මම ටොම් කියපු දේ විශ්වාස කළේ නැහැ.
I just want you to know I regret it.	මට අවශ්‍ය ඔබ ඒ ගැන පසුතැවෙන බව දැන ගැනීම පමණයි.
I know some students in that school.	මම ඒ පාසලේ සමහර සිසුන් දන්නවා.
I know someone who can speak French.	මම දන්නවා ප්‍රංශ කතා කරන්න පුළුවන් කෙනෙක්.
I know that you've been avoiding me.	මම දන්නවා ඔයා මාව මගහරිනවා කියලා.
I know the perfect place to do that.	එය කිරීමට සුදුසුම ස්ථානය මම දනිමි.
I leave for London tomorrow morning.	මම හෙට උදේ ලන්ඩන් යනවා.
I left the rest to him and went out.	ඉතුරු ටික එයාට දීලා මම එලියට ගියා.
I like going for a walk in the park.	මම උද්‍යානයේ ඇවිදින්න යන්න කැමතියි.
I like the slow rhythm of that song.	මම ඒ ගීතයේ මන්දගාමී රිද්මයට කැමතියි.
I like to ride a horse now and then.	මම ඉඳහිට අශ්වයෙක් පිට යන්න කැමතියි.
I lost my key somewhere around here.	මගේ යතුර මෙතන කොහේ හරි නැති වුණා.
I love you and I'll always love you.	මම ඔයාට ආදරෙයි මම හැමදාම ඔයාට ආදරෙයි.
I made several mistakes in the exam.	විභාගයේදී මම වැරදි කිහිපයක් කළා.
I managed to make him understand it.	මම ඔහුට එය තේරුම් කර දීමට සමත් විය.
I need someone who can speak French.	මට ප්‍රංශ කතා කරන්න පුළුවන් කෙනෙක් අවශ්‍යයි.
I need to get a new pair of glasses.	මට අලුත් උපැස් යුවලක් ගන්න ඕන.
I need to speak with Tom right away.	මට වහාම ටොම් සමඟ කතා කළ යුතුයි.
I never imagined anything like this.	මම කවදාවත් මේ වගේ දෙයක් හීනෙකින්වත් හිතුවේ නැහැ.
I never thought that day would come.	ඒ දවස එයි කියලා මම කවදාවත් හිතුවේ නැහැ.
I overslept and was late for school.	මට හොඳටම නින්ද ගිහින් ඉස්කෝලේ යන්න පරක්කු වුණා.
I persuaded him to consult a doctor.	වෛද්‍යවරයෙකුගෙන් උපදෙස් ලබා ගැනීමට මම ඔහුට ඒත්තු ගැන්වුවෙමි.
I planted this tree three years ago.	මම අවුරුදු තුනකට පෙර මෙම ගස සිටුවා.
I read the book from cover to cover.	මම පොත කවරයේ සිට කවරය දක්වා කියෙව්වා.
I really don't like going to school.	මම ඇත්තටම පාසල් යන්න කැමති නැහැ.
I really had an enjoyable childhood.	ඇත්තටම මට විනෝදජනක ළමා කාලයක් තිබුණා.
I received her letter the other day.	පහුගිය දවසක මට ඇගේ ලිපිය ලැබුණා.
I regret inviting Tom to my wedding.	ටොම්ට මගේ විවාහ උත්සවයට ආරාධනා කිරීම ගැන මම කනගාටු වෙනවා.
I regret saying that you were wrong.	ඔබ වැරදි බව පැවසීම ගැන මම කනගාටු වෙමි.
I regret that I did not work harder.	මම වෙහෙස මහන්සි වී වැඩ නොකිරීම ගැන මම කනගාටු වෙමි.
I repeated exactly what he had said.	මම ඔහු කී දේම නැවත කීවෙමි.
I should go home and get some sleep.	මම ගෙදර ගිහින් ටිකක් නිදාගන්න ඕනේ.
I should have followed Tom's advice.	මට ටොම්ගේ උපදෙස් අනුගමනය කළ යුතුව තිබුණි.
I should've listened more carefully.	මට මීට වඩා සාවධානව සවන් දිය යුතුව තිබුණි.
I shouldn't have gotten up so early.	මට මෙතරම් වේලාසනින් නැගිටින්නට තිබුණේ නැත.
I speak French much better than Tom.	මම ටොම්ට වඩා හොඳට ප්‍රංශ කතා කරනවා.
I spent last Sunday reading a novel.	මම පසුගිය ඉරිදා නවකතාවක් කියෙව්වා.
